HANDELSID,TID,PRIS,VOLUM,TYPE
1IV251ARP,16:14:26,268.25,51,Exchange Continuous
1IV251ARO,16:14:26,268.25,427,Exchange Continuous
1IV251ARN,16:14:26,268.25,61,Exchange Continuous
1IV251ARM,16:14:26,268.25,55,Exchange Continuous
1IV251ARL,16:14:26,268.25,270,Exchange Continuous
1IV251ARK,16:14:25,268.20,118,Exchange Continuous
1IV251ARJ,16:14:25,268.20,51,Exchange Continuous
1IV251ARI,16:14:25,268.20,1 012,Exchange Continuous
1IV251ARA,16:14:05,268.20,217,Exchange Continuous
1IV251AR9,16:14:05,268.20,10,Exchange Continuous
1IV251AR8,16:14:05,268.20,50,Exchange Continuous
1IV251AR7,16:14:05,268.20,100,Exchange Continuous
1IV251AR6,16:14:05,268.20,30,Exchange Continuous
1IV251AR5,16:14:05,268.20,43,Exchange Continuous
1IV251AR4,16:14:05,268.20,227,Exchange Continuous
1IV251AR3,16:14:05,268.20,43,Exchange Continuous
1IV251AR2,16:14:05,268.20,157,Exchange Continuous
1IV251AR1,16:14:05,268.20,94,Exchange Continuous
1IV251AR0,16:14:05,268.20,436,Exchange Continuous
1IV251AQZ,16:14:05,268.15,429,Exchange Continuous
1IV251AQY,16:14:05,268.15,1 066,Exchange Continuous
1IV251AQX,16:14:05,268.15,70,Exchange Continuous
1IV251AQC,16:13:42,268.15,436,Exchange Continuous
1IV251AQB,16:13:42,268.15,366,Exchange Continuous
1IV251AQA,16:13:42,268.15,500,Exchange Continuous
1IV251AQ9,16:13:40,268.20,366,Exchange Continuous
1IV251AQ8,16:13:40,268.20,70,Exchange Continuous
1IV251AQ7,16:13:40,268.20,126,Exchange Continuous
1IV251AQ6,16:13:40,268.20,120,Exchange Continuous
1IV251AQ5,16:13:40,268.20,316,Exchange Continuous
1IV251AQ4,16:13:16,268.25,70,Exchange Continuous
1IV251AQ3,16:13:16,268.25,183,Exchange Continuous
1IV251AQ2,16:13:16,268.25,253,Exchange Continuous
1IV251AQ0,16:13:09,268.35,180,Exchange Continuous
1IV251APZ,16:13:09,268.30,180,Exchange Continuous
1IV251APY,16:13:09,268.30,50,Exchange Continuous
1IV251APX,16:13:09,268.30,168,Exchange Continuous
1IV251APW,16:13:09,268.25,82,Exchange Continuous
1IV251APV,16:13:09,268.20,70,Exchange Continuous
1IV251APU,16:13:09,268.20,25,Exchange Continuous
1IV251APT,16:13:09,268.20,226,Exchange Continuous
1IV251APS,16:13:09,268.20,575,Exchange Continuous
1IV251APR,16:13:09,268.20,436,Exchange Continuous
1IV251APQ,16:13:09,268.20,25,Retail Matching Facility
1IV251API,16:12:55,268.15,245,Exchange Continuous
1IV251APH,16:12:55,268.15,118,Exchange Continuous
1IV251APG,16:12:55,268.15,82,Exchange Continuous
1IV251APF,16:12:55,268.10,5,Exchange Continuous
1IV251APE,16:12:55,268.10,122,Exchange Continuous
1IV251APD,16:12:55,268.10,436,Exchange Continuous
1IV251AOZ,16:12:14,268.15,3,Retail Matching Facility
1IV251AOH,16:12:03,268.30,218,Exchange Continuous
1IV251AOG,16:12:03,268.30,218,Exchange Continuous
1IV251AO9,16:11:50,268.45,270,Exchange Continuous
1IV251AO8,16:11:50,268.45,355,Exchange Continuous
1IV251AO7,16:11:50,268.45,411,Exchange Continuous
1IV251ANS,16:11:38,268.50,436,Exchange Continuous
1IV251ANR,16:11:38,268.50,70,Exchange Continuous
1IV251ANJ,16:11:14,268.55,436,Exchange Continuous
1IV251ANI,16:11:14,268.55,245,Exchange Continuous
